Tweet,Tweet Length,Cleaned_Tweet,Cleaned_Length,Normalized_Tweet,Normalized_Length,Tokenized_Tweet,Token_Count,No_Stopwords_Tweet,No_Stopwords_Count
Wah gelo baru berapa hari ganti kabinet mentri2 yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt.....,19,wah gelo baru berapa hari ganti kabinet mentri2 yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,19,wah gelo baru berapa hari ganti kabinet mentri2 yg ga capable udh keliatan aja kaga pernah mikirnya takut bgt,19,"[""wah"", ""gelo"", ""baru"", ""berapa"", ""hari"", ""ganti"", ""kabinet"", ""mentri2"", ""yg"", ""ga"", ""capable"", ""udh"", ""keliatan"", ""aja"", ""kaga"", ""pernah"", ""mikirnya"", ""takut"", ""bgt""]",167,"[""ganti"", ""kabinet"", ""capable"", ""keliatan"", ""mikirnya"", ""takut""]",6
@PngAdilnR4kyt Jangan kan October tidak akan dapat selama nya. Krn Prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari 1 triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,40,pngadilnr4kyt jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari 1 triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,40,pngadilnr4kyt jangan kan october tidak akan dapat selama nya krn prabowo sdh katakan dr mana uangnya sedangkan utan yg dibayar setiap hari 1 triliun aneh nya kabinet nya bisa bengkak begitu banyak orangnya nah dr mana tuh duit bayar gajinya,40,"[""pngadilnr4kyt"", ""jangan"", ""kan"", ""october"", ""tidak"", ""akan"", ""dapat"", ""selama"", ""nya"", ""krn"", ""prabowo"", ""sdh"", ""katakan"", ""dr"", ""mana"", ""uangnya"", ""sedangkan"", ""utan"", ""yg"", ""dibayar"", ""setiap"", ""hari"", ""1"", ""triliun"", ""aneh"", ""nya"", ""kabinet"", ""nya"", ""bisa"", ""bengkak"", ""begitu"", ""banyak"", ""orangnya"", ""nah"", ""dr"", ""mana"", ""tuh"", ""duit"", ""bayar"", ""gajinya""]",361,"[""pngadilnr4kyt"", ""october"", ""nya"", ""prabowo"", ""uangnya"", ""dibayar"", ""1"", ""triliun"", ""aneh"", ""nya"", ""kabinet"", ""nya"", ""bengkak"", ""orangnya"", ""duit"", ""bayar"", ""gajinya""]",17
@NarasiNewsroom Gibran langsung.blusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,23,narasinewsroom gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,23,narasinewsroom gibran langsungblusukan kasih makan siang gratis prabowo langsung mau jalankan di sidang kabinet spt masih dibawah tekanan dan ada yang mengatur beliau,23,"[""narasinewsroom"", ""gibran"", ""langsungblusukan"", ""kasih"", ""makan"", ""siang"", ""gratis"", ""prabowo"", ""langsung"", ""mau"", ""jalankan"", ""di"", ""sidang"", ""kabinet"", ""spt"", ""masih"", ""dibawah"", ""tekanan"", ""dan"", ""ada"", ""yang"", ""mengatur"", ""beliau""]",236,"[""narasinewsroom"", ""gibran"", ""langsungblusukan"", ""kasih"", ""makan"", ""siang"", ""gratis"", ""prabowo"", ""langsung"", ""jalankan"", ""sidang"", ""kabinet"", ""dibawah"", ""tekanan"", ""mengatur"", ""beliau""]",16
Banyak yang menduga. Pelantikan Luhut Binsar Panjaitan di kabinet ada misi khusus utang budi bayar bodi . Jaminan investasi China di Indonesia.,22,banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi  jaminan investasi china di indonesia,21,banyak yang menduga pelantikan luhut binsar panjaitan di kabinet ada misi khusus utang budi bayar bodi jaminan investasi china di indonesia,21,"[""banyak"", ""yang"", ""menduga"", ""pelantikan"", ""luhut"", ""binsar"", ""panjaitan"", ""di"", ""kabinet"", ""ada"", ""misi"", ""khusus"", ""utang"", ""budi"", ""bayar"", ""bodi"", ""jaminan"", ""investasi"", ""china"", ""di"", ""indonesia""]",203,"[""menduga"", ""pelantikan"", ""luhut"", ""binsar"", ""panjaitan"", ""kabinet"", ""misi"", ""khusus"", ""utang"", ""bayar"", ""jaminan"", ""investasi"", ""china"", ""indonesia""]",14
Sidang Kabinet Paripurna Prabowo Ungkap Sejumlah Tujuan Utama Pemerintah Sesuai UUD 1945,12,sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud 1945,12,sidang kabinet paripurna prabowo ungkap sejumlah tujuan utama pemerintah sesuai uud 1945,12,"[""sidang"", ""kabinet"", ""paripurna"", ""prabowo"", ""ungkap"", ""sejumlah"", ""tujuan"", ""utama"", ""pemerintah"", ""sesuai"", ""uud"", ""1945""]",125,"[""sidang"", ""kabinet"", ""paripurna"", ""prabowo"", ""tujuan"", ""utama"", ""pemerintah"", ""sesuai"", ""uud"", ""1945""]",10
@CakKhum Bagaimana kita percaya mau tegas terhadap kabinet semuÃ  anggota kabinet orangnya mulyono.,13,cakkhum bagaimana kita percaya mau tegas terhadap kabinet semuã  anggota kabinet orangnya mulyono,13,cakkhum bagaimana kita percaya mau tegas terhadap kabinet semuã anggota kabinet orangnya mulyono,13,"[""cakkhum"", ""bagaimana"", ""kita"", ""percaya"", ""mau"", ""tegas"", ""terhadap"", ""kabinet"", ""semuã"", ""anggota"", ""kabinet"", ""orangnya"", ""mulyono""]",136,"[""cakkhum"", ""percaya"", ""kabinet"", ""semuã"", ""anggota"", ""kabinet"", ""orangnya"", ""mulyono""]",8
Gue baru sadar... Ini kabinet merput kan jumlah mentrinya banyak ye? Wamennya juga banyak... Ada yang dari PKS???,18,gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,18,gue baru sadar ini kabinet merput kan jumlah mentrinya banyak ye wamennya juga banyak ada yang dari pks,18,"[""gue"", ""baru"", ""sadar"", ""ini"", ""kabinet"", ""merput"", ""kan"", ""jumlah"", ""mentrinya"", ""banyak"", ""ye"", ""wamennya"", ""juga"", ""banyak"", ""ada"", ""yang"", ""dari"", ""pks""]",158,"[""sadar"", ""kabinet"", ""merput"", ""mentrinya"", ""ye"", ""wamennya"", ""pks""]",7
Semangat Rela Berkorban Kabinet Merah Pitih,6,semangat rela berkorban kabinet merah pitih,6,semangat rela berkorban kabinet merah pitih,6,"[""semangat"", ""rela"", ""berkorban"", ""kabinet"", ""merah"", ""pitih""]",62,"[""semangat"", ""rela"", ""berkorban"", ""kabinet"", ""merah"", ""pitih""]",6
@Mdy_Asmara1701 Itu luhut? Zulhas bw anak? Org2 ga kompeten itu apa kurang kebal? Buktinya masuk kabinet,16,mdy_asmara1701 itu luhut zulhas bw anak org2 ga kompeten itu apa kurang kebal buktinya masuk kabinet,16,mdy_asmara1701 itu luhut zulhas bw anak org2 ga kompeten itu apa kurang kebal buktinya masuk kabinet,16,"[""mdy_asmara1701"", ""itu"", ""luhut"", ""zulhas"", ""bw"", ""anak"", ""org2"", ""ga"", ""kompeten"", ""itu"", ""apa"", ""kurang"", ""kebal"", ""buktinya"", ""masuk"", ""kabinet""]",149,"[""mdy_asmara1701"", ""luhut"", ""zulhas"", ""bw"", ""anak"", ""org2"", ""kompeten"", ""kebal"", ""buktinya"", ""masuk"", ""kabinet""]",11
@tempodotco Menguat saat pelantikan anjlok saat kabinet gemuk,8,tempodotco menguat saat pelantikan anjlok saat kabinet gemuk,8,tempodotco menguat saat pelantikan anjlok saat kabinet gemuk,8,"[""tempodotco"", ""menguat"", ""saat"", ""pelantikan"", ""anjlok"", ""saat"", ""kabinet"", ""gemuk""]",85,"[""tempodotco"", ""menguat"", ""pelantikan"", ""anjlok"", ""kabinet"", ""gemuk""]",6
Jamal Nasir cadang bekas atlet dilantik sertai Kabinet,8,jamal nasir cadang bekas atlet dilantik sertai kabinet,8,jamal nasir cadang bekas atlet dilantik sertai kabinet,8,"[""jamal"", ""nasir"", ""cadang"", ""bekas"", ""atlet"", ""dilantik"", ""sertai"", ""kabinet""]",79,"[""jamal"", ""nasir"", ""cadang"", ""bekas"", ""atlet"", ""dilantik"", ""sertai"", ""kabinet""]",8
@CNNIndonesia Akibat kabinet terlalu gemoy,5,cnnindonesia akibat kabinet terlalu gemoy,5,cnnindonesia akibat kabinet terlalu gemoy,5,"[""cnnindonesia"", ""akibat"", ""kabinet"", ""terlalu"", ""gemoy""]",57,"[""cnnindonesia"", ""akibat"", ""kabinet"", ""gemoy""]",4
